epoch,itr,loss,loss-jepa,reg-loss,enc-grad-norm,pred-grad-norm,gpu-time(ms),wall-time(ms)
1,0,0.86982,0.86982,0.82812,0.00000,0.00000,1785,22190
1,1,0.65482,0.65482,0.90625,0.00000,0.00000,768,793
1,2,0.55749,0.55749,0.92969,0.00000,0.00000,1450,4690
1,3,0.51314,0.51314,0.94141,0.00000,0.00000,766,791
1,4,0.47759,0.47759,0.94531,0.00000,0.00000,1027,3303
1,5,0.44210,0.44210,0.94922,0.00000,0.00000,771,796
1,6,0.43082,0.43082,0.95312,0.00000,0.00000,729,2100
1,7,0.41397,0.41397,0.95312,0.00000,0.00000,896,922
1,8,0.40796,0.40796,0.95312,0.00000,0.00000,736,1917
1,9,0.38182,0.38182,0.95312,0.00000,0.00000,771,796
1,10,0.37766,0.37766,0.95312,0.00000,0.00000,754,1791
1,11,0.38100,0.38100,0.95312,0.00000,0.00000,855,880
1,12,0.35814,0.35814,0.95312,0.00000,0.00000,703,3235
1,13,0.35380,0.35380,0.94922,0.00000,0.00000,789,815
1,14,0.36342,0.36342,0.94531,0.00000,0.00000,719,1513
1,15,0.36279,0.36279,0.93750,0.00000,0.00000,779,804
1,16,0.34927,0.34927,0.92969,0.00000,0.00000,840,1676
1,17,0.35104,0.35104,0.91797,0.00000,0.00000,814,839
1,18,0.33121,0.33121,0.89844,0.00000,0.00000,891,1568
1,19,0.33200,0.33200,0.86719,0.00000,0.00000,750,775
1,20,0.30360,0.30360,0.82812,0.00000,0.00000,769,2157
1,21,0.30519,0.30519,0.80859,0.00000,0.00000,772,797
1,22,0.30851,0.30851,0.75391,0.00000,0.00000,977,2393
1,23,0.32548,0.32548,0.82031,0.00000,0.00000,795,820
1,24,0.31214,0.31214,0.81250,0.00000,0.00000,915,1568
1,25,0.31158,0.31158,0.75000,0.00000,0.00000,776,801
1,26,0.28368,0.28368,0.78516,0.00000,0.00000,756,1761
1,27,0.27872,0.27872,0.80078,0.00000,0.00000,720,2152
1,28,0.26948,0.26948,0.78125,0.00000,0.00000,999,2135
1,29,0.25750,0.25750,0.74609,0.00000,0.00000,792,1271
1,30,0.25664,0.25664,0.75000,0.00000,0.00000,1054,2745
1,31,0.26844,0.26844,0.77344,0.00000,0.00000,764,1184
1,32,0.24045,0.24045,0.77344,0.00000,0.00000,1201,1624
1,33,0.25056,0.25056,0.75781,0.00000,0.00000,759,1330
1,34,0.26255,0.26255,0.73828,0.00000,0.00000,1110,1229
1,35,0.22066,0.22066,0.73828,0.00000,0.00000,775,1318
1,36,0.24973,0.24973,0.75000,0.00000,0.00000,1518,1608
1,37,0.21791,0.21791,0.74609,0.00000,0.00000,729,1328
1,38,0.23314,0.23314,0.72656,0.00000,0.00000,1258,1412
1,39,0.21354,0.21354,0.72266,0.00000,0.00000,757,1276
1,40,0.20958,0.20958,0.73438,0.00000,0.00000,1537,1790
1,41,0.21668,0.21668,0.73438,0.00000,0.00000,753,974
1,42,0.18548,0.18548,0.72266,0.00000,0.00000,1622,3194
1,43,0.19991,0.19991,0.71875,0.00000,0.00000,753,1048
1,44,0.19940,0.19940,0.72266,0.00000,0.00000,1591,1837
1,45,0.21202,0.21202,0.72266,0.00000,0.00000,771,796
1,46,0.20252,0.20252,0.71484,0.00000,0.00000,1620,2089
1,47,0.18214,0.18214,0.71484,0.00000,0.00000,752,778
1,48,0.18992,0.18992,0.72266,0.00000,0.00000,1362,1798
1,49,0.19844,0.19844,0.71875,0.00000,0.00000,793,819
1,50,0.18029,0.18029,0.71094,0.00000,0.00000,1446,2442
1,51,0.19285,0.19285,0.71875,0.00000,0.00000,800,826
1,52,0.18777,0.18777,0.71484,0.00000,0.00000,2075,2413
1,53,0.17396,0.17396,0.71094,0.00000,0.00000,739,765
1,54,0.15781,0.15781,0.71875,0.00000,0.00000,1318,2622
1,55,0.17350,0.17350,0.71484,0.00000,0.00000,736,1643
1,56,0.17340,0.17340,0.71484,0.00000,0.00000,1105,1526
1,57,0.18558,0.18558,0.71875,0.00000,0.00000,755,1366
1,58,0.16612,0.16612,0.71484,0.00000,0.00000,985,1596
1,59,0.15632,0.15632,0.71875,0.00000,0.00000,700,1909
1,60,0.16108,0.16108,0.71484,0.00000,0.00000,1116,2725
1,61,0.16312,0.16312,0.71484,0.00000,0.00000,740,2345
1,62,0.18303,0.18303,0.72266,0.00000,0.00000,903,1513
1,63,0.16110,0.16110,0.71094,0.00000,0.00000,720,1312
1,64,0.17132,0.17132,0.73047,0.00000,0.00000,1104,1662
1,65,0.15847,0.15847,0.71094,0.00000,0.00000,709,901
1,66,0.16235,0.16235,0.72656,0.00000,0.00000,1430,1817
1,67,0.16668,0.16668,0.71875,0.00000,0.00000,759,784
1,68,0.15622,0.15622,0.71484,0.00000,0.00000,1473,2218
1,69,0.16538,0.16538,0.72656,0.00000,0.00000,783,808
1,70,0.16120,0.16120,0.71875,0.00000,0.00000,1355,2152
1,71,0.14720,0.14720,0.72266,0.00000,0.00000,761,787
1,72,0.14553,0.14553,0.73047,0.00000,0.00000,1527,2113
1,73,0.15220,0.15220,0.72266,0.00000,0.00000,746,771
1,74,0.13907,0.13907,0.73047,0.00000,0.00000,1458,1886
1,75,0.13495,0.13495,0.72656,0.00000,0.00000,799,825
1,76,0.13823,0.13823,0.72656,0.00000,0.00000,1808,2012
1,77,0.14325,0.14325,0.73047,0.00000,0.00000,911,937
1,78,0.14958,0.14958,0.73047,0.00000,0.00000,1821,1846
1,79,0.14096,0.14096,0.72656,0.00000,0.00000,799,824
1,80,0.13681,0.13681,0.73828,0.00000,0.00000,1806,1832
1,81,0.15309,0.15309,0.73047,0.00000,0.00000,757,783
1,82,0.13956,0.13956,0.73438,0.00000,0.00000,1925,2165
1,83,0.14723,0.14723,0.73438,0.00000,0.00000,788,813
1,84,0.15496,0.15496,0.73828,0.00000,0.00000,1637,1994
1,85,0.14551,0.14551,0.73438,0.00000,0.00000,769,794
1,86,0.15267,0.15267,0.74219,0.00000,0.00000,1664,1810
1,87,0.12434,0.12434,0.74219,0.00000,0.00000,753,779
1,88,0.11632,0.11632,0.74219,0.00000,0.00000,2035,2126
1,89,0.12246,0.12246,0.74219,0.00000,0.00000,776,801
1,90,0.14768,0.14768,0.73828,0.00000,0.00000,1829,1854
1,91,0.15140,0.15140,0.75000,0.00000,0.00000,799,824
1,92,0.15330,0.15330,0.74219,0.00000,0.00000,2060,2085
1,93,0.14795,0.14795,0.74609,0.00000,0.00000,773,798
1,94,0.12120,0.12120,0.74609,0.00000,0.00000,1887,1913
1,95,0.11712,0.11712,0.74609,0.00000,0.00000,786,811
1,96,0.14181,0.14181,0.74609,0.00000,0.00000,1505,1530
1,97,0.13013,0.13013,0.75391,0.00000,0.00000,774,799
1,98,0.12435,0.12435,0.75000,0.00000,0.00000,1799,1824
1,99,0.12709,0.12709,0.75000,0.00000,0.00000,797,823
1,100,0.13823,0.13823,0.75000,0.00000,0.00000,1954,1979
1,101,0.15740,0.15740,0.75781,0.00000,0.00000,736,761
1,102,0.12867,0.12867,0.75391,0.00000,0.00000,1965,2088
1,103,0.16012,0.16012,0.75781,0.00000,0.00000,780,806
1,104,0.12381,0.12381,0.75781,0.00000,0.00000,2250,2275
1,105,0.12626,0.12626,0.75781,0.00000,0.00000,769,794
1,106,0.11084,0.11084,0.75781,0.00000,0.00000,2138,2163
1,107,0.12615,0.12615,0.76172,0.00000,0.00000,828,853
1,108,0.13856,0.13856,0.75781,0.00000,0.00000,1831,1856
1,109,0.12574,0.12574,0.76172,0.00000,0.00000,752,777
1,110,0.13736,0.13736,0.76562,0.00000,0.00000,2112,2138
1,111,0.12128,0.12128,0.76172,0.00000,0.00000,795,820
1,112,0.14073,0.14073,0.76562,0.00000,0.00000,2018,2044
1,113,0.12881,0.12881,0.76562,0.00000,0.00000,752,851
1,114,0.13302,0.13302,0.76953,0.00000,0.00000,1959,1984
1,115,0.14908,0.14908,0.76562,0.00000,0.00000,779,835
1,116,0.13151,0.13151,0.76562,0.00000,0.00000,1819,1844
1,117,0.13378,0.13378,0.76953,0.00000,0.00000,706,1045
1,118,0.13205,0.13205,0.76953,0.00000,0.00000,1942,1967
1,119,0.12138,0.12138,0.76953,0.00000,0.00000,735,799
1,120,0.15315,0.15315,0.76953,0.00000,0.00000,2291,2477
1,121,0.12088,0.12088,0.77344,0.00000,0.00000,757,1001
1,122,0.13952,0.13952,0.77344,0.00000,0.00000,2169,2235
1,123,0.12858,0.12858,0.77734,0.00000,0.00000,740,872
1,124,0.11634,0.11634,0.76953,0.00000,0.00000,2529,2634
1,125,0.14069,0.14069,0.77734,0.00000,0.00000,671,1510
1,126,0.14199,0.14199,0.77734,0.00000,0.00000,1987,2255
1,127,0.12995,0.12995,0.77734,0.00000,0.00000,770,898
1,128,0.11083,0.11083,0.77344,0.00000,0.00000,1571,1596
1,129,0.11570,0.11570,0.78125,0.00000,0.00000,706,1260
1,130,0.12432,0.12432,0.78125,0.00000,0.00000,2034,2059
1,131,0.12319,0.12319,0.78125,0.00000,0.00000,737,1018
1,132,0.12685,0.12685,0.78516,0.00000,0.00000,1571,1886
1,133,0.09542,0.09542,0.78516,0.00000,0.00000,731,1049
1,134,0.14093,0.14093,0.78516,0.00000,0.00000,1528,1935
1,135,0.11796,0.11796,0.78516,0.00000,0.00000,777,802
1,136,0.11335,0.11335,0.78516,0.00000,0.00000,1596,2102
1,137,0.12697,0.12697,0.78906,0.00000,0.00000,744,846
1,138,0.10547,0.10547,0.78906,0.00000,0.00000,1502,1805
1,139,0.12263,0.12263,0.79297,0.00000,0.00000,679,1138
1,140,0.10895,0.10895,0.78906,0.00000,0.00000,1032,1519
1,141,0.11667,0.11667,0.78906,0.00000,0.00000,685,817
1,142,0.12082,0.12082,0.78906,0.00000,0.00000,1359,2718
1,143,0.12813,0.12813,0.79297,0.00000,0.00000,747,831
1,144,0.12093,0.12093,0.78906,0.00000,0.00000,1256,1837
1,145,0.12163,0.12163,0.79297,0.00000,0.00000,735,861
1,146,0.12136,0.12136,0.79297,0.00000,0.00000,1302,2124
1,147,0.13595,0.13595,0.79688,0.00000,0.00000,767,928
1,148,0.12504,0.12504,0.79297,0.00000,0.00000,1267,1688
1,149,0.11792,0.11792,0.79688,0.00000,0.00000,714,864
1,150,0.11573,0.11573,0.80078,0.00000,0.00000,991,1751
1,151,0.11741,0.11741,0.79688,0.00000,0.00000,694,971
1,152,0.12853,0.12853,0.80078,0.00000,0.00000,1014,1692
1,153,0.11477,0.11477,0.80078,0.00000,0.00000,670,1176
1,154,0.11647,0.11647,0.80078,0.00000,0.00000,1142,1646
1,155,0.13287,0.13287,0.80078,0.00000,0.00000,756,1620
1,156,0.10404,0.10404,0.80078,0.00000,0.00000,1258,1332
1,157,0.10848,0.10848,0.80078,0.00000,0.00000,752,1748
1,158,0.12862,0.12862,0.80469,0.00000,0.00000,1032,1058
1,159,0.14163,0.14163,0.80469,0.00000,0.00000,735,1843
1,160,0.13599,0.13599,0.80469,0.00000,0.00000,1003,1028
1,161,0.11056,0.11056,0.80469,0.00000,0.00000,717,2044
1,162,0.10925,0.10925,0.80859,0.00000,0.00000,1048,1073
1,163,0.12162,0.12162,0.80469,0.00000,0.00000,815,2055
1,164,0.13027,0.13027,0.80469,0.00000,0.00000,738,763
1,165,0.11402,0.11402,0.80469,0.00000,0.00000,737,2076
1,166,0.11699,0.11699,0.80469,0.00000,0.00000,769,795
1,167,0.12810,0.12810,0.80859,0.00000,0.00000,786,2392
1,168,0.13321,0.13321,0.80859,0.00000,0.00000,775,800
1,169,0.11052,0.11052,0.80859,0.00000,0.00000,790,1954
1,170,0.12339,0.12339,0.80859,0.00000,0.00000,813,1012
1,171,0.12293,0.12293,0.81250,0.00000,0.00000,752,2041
1,172,0.11592,0.11592,0.80859,0.00000,0.00000,726,1004
1,173,0.12264,0.12264,0.80859,0.00000,0.00000,802,1764
1,174,0.10912,0.10912,0.81250,0.00000,0.00000,981,1033
1,175,0.13939,0.13939,0.81250,0.00000,0.00000,723,1742
1,176,0.11722,0.11722,0.81250,0.00000,0.00000,829,1137
1,177,0.13173,0.13173,0.81250,0.00000,0.00000,773,2059
1,178,0.12287,0.12287,0.81641,0.00000,0.00000,793,1276
1,179,0.11844,0.11844,0.81250,0.00000,0.00000,775,1756
1,180,0.12893,0.12893,0.81641,0.00000,0.00000,757,2275
1,181,0.13696,0.13696,0.81641,0.00000,0.00000,801,826
1,182,0.11855,0.11855,0.82031,0.00000,0.00000,747,772
1,183,0.11761,0.11761,0.81641,0.00000,0.00000,787,813
1,184,0.12247,0.12247,0.81641,0.00000,0.00000,821,846
1,185,0.11654,0.11654,0.82031,0.00000,0.00000,804,829
1,186,0.10484,0.10484,0.81641,0.00000,0.00000,792,817
1,187,0.11510,0.11510,0.82031,0.00000,0.00000,783,808
1,188,0.13086,0.13086,0.82031,0.00000,0.00000,752,777
1,189,0.11097,0.11097,0.82031,0.00000,0.00000,743,768
1,190,0.11991,0.11991,0.81641,0.00000,0.00000,766,791
1,191,0.13806,0.13806,0.82031,0.00000,0.00000,720,745
1,192,0.10719,0.10719,0.82031,0.00000,0.00000,755,781
1,193,0.10940,0.10940,0.82031,0.00000,0.00000,774,800
1,194,0.12729,0.12729,0.82031,0.00000,0.00000,750,776
1,195,0.11301,0.11301,0.82031,0.00000,0.00000,767,792
1,196,0.10933,0.10933,0.82031,0.00000,0.00000,808,833
1,197,0.12034,0.12034,0.82031,0.00000,0.00000,779,804
1,198,0.12493,0.12493,0.82422,0.00000,0.00000,724,749
1,199,0.11711,0.11711,0.82422,0.00000,0.00000,800,825
1,200,0.10365,0.10365,0.82422,0.00000,0.00000,750,776
1,201,0.12856,0.12856,0.82812,0.00000,0.00000,779,805
1,202,0.11981,0.11981,0.82422,0.00000,0.00000,807,832
1,203,0.11552,0.11552,0.82422,0.00000,0.00000,801,827
1,204,0.12141,0.12141,0.82422,0.00000,0.00000,761,786
1,205,0.11769,0.11769,0.82422,0.00000,0.00000,751,776
1,206,0.13481,0.13481,0.82812,0.00000,0.00000,733,758
1,207,0.11877,0.11877,0.82422,0.00000,0.00000,740,765
1,208,0.12104,0.12104,0.82422,0.00000,0.00000,766,791
1,209,0.10604,0.10604,0.82812,0.00000,0.00000,757,782
1,210,0.09637,0.09637,0.82812,0.00000,0.00000,774,799
1,211,0.12363,0.12363,0.82422,0.00000,0.00000,831,857
1,212,0.11588,0.11588,0.82812,0.00000,0.00000,784,809
1,213,0.13159,0.13159,0.82812,0.00000,0.00000,932,957
1,214,0.12809,0.12809,0.82812,0.00000,0.00000,756,782
1,215,0.10241,0.10241,0.82812,0.00000,0.00000,807,832
1,216,0.13453,0.13453,0.82812,0.00000,0.00000,757,783
1,217,0.11243,0.11243,0.82812,0.00000,0.00000,794,819
1,218,0.13015,0.13015,0.82812,0.00000,0.00000,764,789
1,219,0.11229,0.11229,0.83203,0.00000,0.00000,746,771
1,220,0.10959,0.10959,0.83203,0.00000,0.00000,770,795
1,221,0.11330,0.11330,0.83203,0.00000,0.00000,762,787
1,222,0.09703,0.09703,0.83203,0.00000,0.00000,764,789
1,223,0.12597,0.12597,0.83203,0.00000,0.00000,739,765
1,224,0.12096,0.12096,0.82812,0.00000,0.00000,754,779
1,225,0.12302,0.12302,0.83203,0.00000,0.00000,747,773
1,226,0.12451,0.12451,0.83203,0.00000,0.00000,750,775
